dealer_code,dealer_city,part_code,description,abc_class,supplier,unit_cost_inr,current_stock,unit,eoq,safety_stock,reorder_point,max_stock,lead_time_days,avg_daily_demand,demand_std_daily,avg_qty_90d,days_of_supply,stockout_prob,stock_status,last_restocked,last_sold,is_slow_mover,inventory_value_inr,service_types
DL001,New Delhi,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,2,qty,9,1,1,10,3,0.02,0.0548,3,60,0.0,OK,2025-11-11,2026-06-04,False,840,FULL_SERVICE
DL001,New Delhi,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,3,qty,3,1,1,4,5,0.01,0.0548,2,135,0.0,OK,2026-06-26,2026-06-27,False,5550,FULL_SERVICE
DL001,New Delhi,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,1,qty,1,1,1,2,21,0.002,0.0548,3,30,1.0,LOW,2026-06-14,2026-06-24,False,185000,HV_BATTERY_INSPECT
DL001,New Delhi,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,2,qty,2,1,1,3,14,0.008,0.0548,2,90,0.0,OK,2026-05-07,2026-06-16,False,5600,HV_BATTERY_INSPECT
DL001,New Delhi,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,8,qty,9,1,1,10,2,0.03,0.0548,4,180,0.0,OK,2026-05-23,2026-06-25,False,5200,FULL_SERVICE
DL001,New Delhi,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,4,qty,8,1,1,9,3,0.03,0.0548,2,180,0.0,OK,2025-11-04,2026-06-28,False,3120,FULL_SERVICE
DL001,New Delhi,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,1,qty,2,1,1,3,10,0.004,0.0548,4,22,1.0,LOW,2026-04-30,2026-06-30,False,1200,
DL001,New Delhi,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,3,qty,2,1,1,3,7,0.008,0.0548,3,90,0.0,OK,2026-06-29,2026-06-22,False,10500,
DL002,Mumbai,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,6,qty,14,1,1,15,2,0.0933,0.1278,11,49,0.0,OK,2026-04-25,2026-06-28,False,5130,"OIL_CHANGE,FULL_SERVICE"
DL002,Mumbai,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,4,qty,30,1,1,31,3,0.0933,0.1278,10,36,0.0,OK,2025-12-27,2026-07-03,False,732,"OIL_CHANGE,FULL_SERVICE"
DL002,Mumbai,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,2,qty,4,1,1,5,5,0.0233,0.0548,2,90,0.0,OK,2026-01-02,2026-04-29,False,5600,"BRAKE_CHECK,FULL_SERVICE"
DL002,Mumbai,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,5,qty,4,1,1,5,5,0.02,0.0548,3,150,0.0,OK,2026-06-08,2026-06-03,False,11000,"BRAKE_CHECK,FULL_SERVICE"
DL002,Mumbai,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,2,qty,7,1,1,8,3,0.0117,0.0548,2,90,0.0,OK,2025-07-11,2026-06-28,False,760,"BRAKE_CHECK,FULL_SERVICE"
DL002,Mumbai,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,4,qty,4,1,1,5,7,0.056,0.0767,4,90,0.0,OK,2026-06-15,2026-06-14,False,26000,"TYRE_ROTATION,FULL_SERVICE"
DL002,Mumbai,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,2,qty,4,1,1,5,7,0.056,0.0767,1,180,0.0,OK,2026-02-17,2026-06-22,True,15600,"TYRE_ROTATION,FULL_SERVICE"
DL002,Mumbai,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,4,qty,3,1,1,4,3,0.0187,0.0548,2,180,0.0,OK,2026-06-22,2026-06-19,False,18000,12V_BATTERY_REPLACE
DL002,Mumbai,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,1,qty,2,1,1,3,3,0.014,0.0548,4,22,1.0,LOW,2026-05-31,2026-07-01,False,5200,12V_BATTERY_REPLACE
DL002,Mumbai,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,10,qty,13,1,1,14,3,0.035,0.0548,3,300,0.0,OK,2026-03-04,2026-06-09,False,3500,"COOLANT_FLUSH,FULL_SERVICE"
DL002,Mumbai,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,4,qty,10,1,1,11,3,0.0233,0.0548,3,120,0.0,OK,2025-10-26,2026-05-24,False,1680,FULL_SERVICE
DL002,Mumbai,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,4,qty,3,1,1,4,5,0.0117,0.0548,2,180,0.0,OK,2026-06-06,2026-06-01,False,7400,FULL_SERVICE
DL002,Mumbai,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,1,qty,1,1,1,2,21,0.0023,0.0548,5,18,1.0,LOW,2026-06-12,2026-06-25,False,185000,HV_BATTERY_INSPECT
DL002,Mumbai,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,2,qty,2,1,1,3,14,0.0093,0.0548,4,45,0.271,OK,2026-06-14,2026-07-02,False,5600,HV_BATTERY_INSPECT
DL002,Mumbai,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,3,qty,10,1,1,11,2,0.035,0.0548,6,45,0.0,OK,2025-12-08,2026-05-22,False,1950,FULL_SERVICE
DL002,Mumbai,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,9,qty,9,1,1,10,3,0.035,0.0548,3,270,0.0,OK,2026-06-03,2026-06-05,False,7020,FULL_SERVICE
DL002,Mumbai,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,3,qty,3,1,1,4,10,0.0047,0.0548,1,270,0.0,OK,2026-02-05,2026-05-29,True,3600,
DL002,Mumbai,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,2,qty,2,1,1,3,7,0.0093,0.0548,1,180,0.0,OK,2026-03-04,2026-06-10,True,7000,
DL003,Bangalore,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,3,qty,14,1,1,15,2,0.0933,0.1278,9,30,0.0,OK,2026-03-22,2026-06-26,False,2565,"OIL_CHANGE,FULL_SERVICE"
DL003,Bangalore,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,6,qty,30,1,1,31,3,0.0933,0.1278,7,77,0.0,OK,2025-10-26,2026-06-26,False,1098,"OIL_CHANGE,FULL_SERVICE"
DL003,Bangalore,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,2,qty,4,1,1,5,5,0.0233,0.0548,1,180,0.0,OK,2026-01-06,2026-06-06,True,5600,"BRAKE_CHECK,FULL_SERVICE"
DL003,Bangalore,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,3,qty,4,1,1,5,5,0.02,0.0548,1,270,0.0,OK,2026-03-04,2026-06-07,True,6600,"BRAKE_CHECK,FULL_SERVICE"
DL003,Bangalore,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,4,qty,7,1,1,8,3,0.0117,0.0548,1,360,0.0,OK,2025-10-10,2026-04-14,True,1520,"BRAKE_CHECK,FULL_SERVICE"
DL003,Bangalore,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,3,qty,4,1,1,5,7,0.056,0.0767,3,90,0.0,OK,2026-05-26,2026-06-18,False,19500,"TYRE_ROTATION,FULL_SERVICE"
DL003,Bangalore,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,3,qty,4,1,1,5,7,0.056,0.0767,5,54,0.0,OK,2026-06-04,2026-07-02,False,23400,"TYRE_ROTATION,FULL_SERVICE"
DL003,Bangalore,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,3,qty,3,1,1,4,3,0.0187,0.0548,3,90,0.0,OK,2026-05-29,2026-06-24,False,13500,12V_BATTERY_REPLACE
DL003,Bangalore,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,2,qty,2,1,1,3,3,0.014,0.0548,3,60,0.0,OK,2026-06-12,2026-07-01,False,10400,12V_BATTERY_REPLACE
DL003,Bangalore,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,4,qty,13,1,1,14,3,0.035,0.0548,3,120,0.0,OK,2025-11-30,2026-05-24,False,1400,"COOLANT_FLUSH,FULL_SERVICE"
DL003,Bangalore,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,10,qty,10,1,1,11,3,0.0233,0.0548,8,112,0.0,OK,2026-06-11,2026-06-16,False,4200,FULL_SERVICE
DL003,Bangalore,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,3,qty,3,1,1,4,5,0.0117,0.0548,4,68,0.0,OK,2026-05-29,2026-06-23,False,5550,FULL_SERVICE
DL003,Bangalore,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,2,qty,1,1,1,2,21,0.0023,0.0548,2,90,0.058,OK,2026-05-25,2026-05-04,False,370000,HV_BATTERY_INSPECT
DL003,Bangalore,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,3,qty,2,1,1,3,14,0.0093,0.0548,1,270,0.0,OK,2026-05-03,2026-04-19,True,8400,HV_BATTERY_INSPECT
DL003,Bangalore,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,4,qty,10,1,1,11,2,0.035,0.0548,2,180,0.0,OK,2025-12-19,2026-05-07,False,2600,FULL_SERVICE
DL003,Bangalore,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,10,qty,9,1,1,10,3,0.035,0.0548,4,225,0.0,OK,2026-06-19,2026-06-16,False,7800,FULL_SERVICE
DL003,Bangalore,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,3,qty,3,1,1,4,10,0.0047,0.0548,6,45,0.0,OK,2026-06-02,2026-06-10,False,3600,
DL003,Bangalore,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,2,qty,2,1,1,3,7,0.0093,0.0548,2,90,0.0,OK,2026-04-27,2026-05-01,False,7000,
DL004,Chennai,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,4,qty,15,1,1,16,2,0.1067,0.1461,11,33,0.0,OK,2026-04-02,2026-07-03,False,3420,"OIL_CHANGE,FULL_SERVICE"
DL004,Chennai,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,5,qty,32,1,1,33,3,0.1067,0.1461,13,35,0.0,OK,2026-01-09,2026-07-02,False,915,"OIL_CHANGE,FULL_SERVICE"
DL004,Chennai,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,4,qty,4,1,1,5,5,0.0267,0.0548,2,180,0.0,OK,2026-04-19,2026-06-30,False,11200,"BRAKE_CHECK,FULL_SERVICE"
DL004,Chennai,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,4,qty,4,1,1,5,5,0.0229,0.0548,5,72,0.0,OK,2026-06-08,2026-07-02,False,8800,"BRAKE_CHECK,FULL_SERVICE"
DL004,Chennai,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,9,qty,8,1,1,9,3,0.0133,0.0548,4,202,0.0,OK,2026-06-03,2026-05-31,False,3420,"BRAKE_CHECK,FULL_SERVICE"
DL004,Chennai,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,2,qty,4,1,1,5,7,0.064,0.0876,7,26,0.0,OK,2026-04-30,2026-06-16,False,13000,"TYRE_ROTATION,FULL_SERVICE"
DL004,Chennai,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,4,qty,4,1,1,5,7,0.064,0.0876,8,45,0.0,OK,2026-06-14,2026-06-16,False,31200,"TYRE_ROTATION,FULL_SERVICE"
DL004,Chennai,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,3,qty,3,1,1,4,3,0.0213,0.0548,3,90,0.0,OK,2026-06-12,2026-06-16,False,13500,12V_BATTERY_REPLACE
DL004,Chennai,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,3,qty,2,1,1,3,3,0.016,0.0548,5,54,0.0,OK,2026-07-02,2026-06-29,False,15600,12V_BATTERY_REPLACE
DL004,Chennai,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,14,qty,14,1,1,15,3,0.04,0.0548,4,315,0.0,OK,2026-05-24,2026-07-01,False,4900,"COOLANT_FLUSH,FULL_SERVICE"
DL004,Chennai,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,2,qty,11,1,1,12,3,0.0267,0.0548,3,60,0.0,OK,2026-01-07,2026-06-04,False,840,FULL_SERVICE
DL004,Chennai,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,3,qty,4,1,1,5,5,0.0133,0.0548,0,999,0.0,OK,2026-01-10,2026-03-24,True,5550,FULL_SERVICE
DL004,Chennai,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,2,qty,1,1,1,2,21,0.0027,0.0548,0,999,0.0,OK,2026-04-11,2026-03-21,True,370000,HV_BATTERY_INSPECT
DL004,Chennai,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,3,qty,3,1,1,4,14,0.0107,0.0548,2,135,0.0,OK,2026-04-20,2026-04-16,False,8400,HV_BATTERY_INSPECT
DL004,Chennai,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,8,qty,11,1,1,12,2,0.04,0.0548,2,360,0.0,OK,2026-01-18,2026-06-09,False,5200,FULL_SERVICE
DL004,Chennai,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,2,qty,10,1,1,11,3,0.04,0.0548,8,22,0.0,OK,2026-02-27,2026-06-20,False,1560,FULL_SERVICE
DL004,Chennai,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,3,qty,3,1,1,4,10,0.0053,0.0548,4,68,0.0,OK,2026-06-26,2026-06-22,False,3600,
DL004,Chennai,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,3,qty,2,1,1,3,7,0.0107,0.0548,3,90,0.0,OK,2026-05-18,2026-05-11,False,10500,
DL005,Hyderabad,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,3,qty,11,1,1,12,2,0.06,0.0822,8,34,0.0,OK,2026-03-19,2026-07-03,False,2565,"OIL_CHANGE,FULL_SERVICE"
DL005,Hyderabad,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,8,qty,24,1,1,25,3,0.06,0.0822,9,80,0.0,OK,2025-11-10,2026-06-04,False,1464,"OIL_CHANGE,FULL_SERVICE"
DL005,Hyderabad,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,1,qty,3,1,1,4,5,0.015,0.0548,4,22,1.0,LOW,2026-05-03,2026-07-03,False,2800,"BRAKE_CHECK,FULL_SERVICE"
DL005,Hyderabad,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,4,qty,3,1,1,4,5,0.0129,0.0548,4,90,0.0,OK,2026-06-12,2026-06-07,False,8800,"BRAKE_CHECK,FULL_SERVICE"
DL005,Hyderabad,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,5,qty,6,1,1,7,3,0.0075,0.0548,4,112,0.0,OK,2026-04-30,2026-06-25,False,1900,"BRAKE_CHECK,FULL_SERVICE"
DL005,Hyderabad,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,3,qty,3,1,1,4,7,0.036,0.0548,7,39,0.0,OK,2026-06-15,2026-06-24,False,19500,"TYRE_ROTATION,FULL_SERVICE"
DL005,Hyderabad,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,1,qty,3,1,1,4,7,0.036,0.0548,5,18,1.0,LOW,2026-05-18,2026-07-01,False,7800,"TYRE_ROTATION,FULL_SERVICE"
DL005,Hyderabad,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,3,qty,2,1,1,3,3,0.012,0.0548,1,270,0.0,OK,2026-07-03,2026-06-30,True,13500,12V_BATTERY_REPLACE
DL005,Hyderabad,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,2,qty,2,1,1,3,3,0.009,0.0548,1,180,0.0,OK,2026-02-06,2026-04-30,True,10400,12V_BATTERY_REPLACE
DL005,Hyderabad,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,4,qty,11,1,1,12,3,0.0225,0.0548,3,120,0.0,OK,2025-10-19,2026-06-05,False,1400,"COOLANT_FLUSH,FULL_SERVICE"
DL005,Hyderabad,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,2,qty,8,1,1,9,3,0.015,0.0548,6,30,0.0,OK,2026-01-22,2026-06-30,False,840,FULL_SERVICE
DL005,Hyderabad,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,2,qty,3,1,1,4,5,0.0075,0.0548,2,90,0.0,OK,2026-03-26,2026-06-14,False,3700,FULL_SERVICE
DL005,Hyderabad,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,1,qty,1,1,1,2,21,0.0015,0.0548,2,45,0.648,LOW,2026-04-25,2026-07-01,False,185000,HV_BATTERY_INSPECT
DL005,Hyderabad,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,3,qty,2,1,1,3,14,0.006,0.0548,1,270,0.0,OK,2026-06-15,2026-06-01,True,8400,HV_BATTERY_INSPECT
DL005,Hyderabad,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,8,qty,8,1,1,9,2,0.0225,0.0548,2,360,0.0,OK,2026-05-30,2026-06-20,False,5200,FULL_SERVICE
DL005,Hyderabad,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,1,qty,7,1,1,8,3,0.0225,0.0548,3,30,1.0,LOW,2025-12-30,2026-07-03,False,780,FULL_SERVICE
DL005,Hyderabad,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,2,qty,2,1,1,3,10,0.003,0.0548,1,180,0.0,OK,2026-04-06,2026-04-22,True,2400,
DL005,Hyderabad,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,2,qty,2,1,1,3,7,0.006,0.0548,7,26,0.0,OK,2026-06-09,2026-06-14,False,7000,
DL006,Pune,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,4,qty,13,1,1,14,2,0.08,0.1095,8,45,0.0,OK,2026-02-28,2026-06-24,False,3420,"OIL_CHANGE,FULL_SERVICE"
DL006,Pune,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,2,qty,28,1,1,29,3,0.08,0.1095,7,26,0.0,OK,2025-07-11,2026-06-10,False,366,"OIL_CHANGE,FULL_SERVICE"
DL006,Pune,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,2,qty,4,1,1,5,5,0.02,0.0548,3,60,0.0,OK,2026-02-22,2026-07-01,False,5600,"BRAKE_CHECK,FULL_SERVICE"
DL006,Pune,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,3,qty,4,1,1,5,5,0.0171,0.0548,0,999,0.0,OK,2026-01-31,2026-03-13,True,6600,"BRAKE_CHECK,FULL_SERVICE"
DL006,Pune,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,3,qty,7,1,1,8,3,0.01,0.0548,2,135,0.0,OK,2025-11-29,2026-04-23,False,1140,"BRAKE_CHECK,FULL_SERVICE"
DL006,Pune,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,3,qty,4,1,1,5,7,0.048,0.0657,6,45,0.0,OK,2026-06-08,2026-06-20,False,19500,"TYRE_ROTATION,FULL_SERVICE"
DL006,Pune,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,3,qty,3,1,1,4,7,0.048,0.0657,5,54,0.0,OK,2026-06-20,2026-06-20,False,23400,"TYRE_ROTATION,FULL_SERVICE"
DL006,Pune,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,3,qty,3,1,1,4,3,0.016,0.0548,3,90,0.0,OK,2026-05-06,2026-05-07,False,13500,12V_BATTERY_REPLACE
DL006,Pune,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,3,qty,2,1,1,3,3,0.012,0.0548,3,90,0.0,OK,2026-05-31,2026-05-28,False,15600,12V_BATTERY_REPLACE
DL006,Pune,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,9,qty,12,1,1,13,3,0.03,0.0548,4,202,0.0,OK,2026-02-21,2026-06-23,False,3150,"COOLANT_FLUSH,FULL_SERVICE"
DL006,Pune,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,9,qty,9,1,1,10,3,0.02,0.0548,3,270,0.0,OK,2026-06-10,2026-06-09,False,3780,FULL_SERVICE
DL006,Pune,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,2,qty,3,1,1,4,5,0.01,0.0548,2,90,0.0,OK,2026-03-22,2026-05-11,False,3700,FULL_SERVICE
DL006,Pune,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,2,qty,1,1,1,2,21,0.002,0.0548,2,90,0.087,OK,2026-06-25,2026-06-04,False,370000,HV_BATTERY_INSPECT
DL006,Pune,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,2,qty,2,1,1,3,14,0.008,0.0548,3,60,0.0,OK,2026-06-12,2026-06-26,False,5600,HV_BATTERY_INSPECT
DL006,Pune,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,10,qty,9,1,1,10,2,0.03,0.0548,3,300,0.0,OK,2026-06-14,2026-06-12,False,6500,FULL_SERVICE
DL006,Pune,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,4,qty,8,1,1,9,3,0.03,0.0548,4,90,0.0,OK,2026-03-01,2026-06-18,False,3120,FULL_SERVICE
DL006,Pune,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,3,qty,2,1,1,3,10,0.004,0.0548,1,270,0.0,OK,2026-06-04,2026-05-25,True,3600,
DL006,Pune,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,3,qty,2,1,1,3,7,0.008,0.0548,2,135,0.0,OK,2026-06-08,2026-06-01,False,10500,
DL007,Kolkata,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,4,qty,14,1,1,15,2,0.0867,0.1187,9,40,0.0,OK,2026-03-21,2026-06-17,False,3420,"OIL_CHANGE,FULL_SERVICE"
DL007,Kolkata,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,4,qty,29,1,1,30,3,0.0867,0.1187,6,60,0.0,OK,2025-10-12,2026-06-30,False,732,"OIL_CHANGE,FULL_SERVICE"
DL007,Kolkata,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,1,qty,4,1,1,5,5,0.0217,0.0548,1,90,0.603,LOW,2026-01-09,2026-07-01,True,2800,"BRAKE_CHECK,FULL_SERVICE"
DL007,Kolkata,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,5,qty,4,1,1,5,5,0.0186,0.0548,3,150,0.0,OK,2026-06-04,2026-05-30,False,11000,"BRAKE_CHECK,FULL_SERVICE"
DL007,Kolkata,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,3,qty,7,1,1,8,3,0.0108,0.0548,3,90,0.0,OK,2025-11-30,2026-06-12,False,1140,"BRAKE_CHECK,FULL_SERVICE"
DL007,Kolkata,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,4,qty,4,1,1,5,7,0.052,0.0712,3,120,0.0,OK,2026-07-02,2026-06-28,False,26000,"TYRE_ROTATION,FULL_SERVICE"
DL007,Kolkata,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,3,qty,3,1,1,4,7,0.052,0.0712,5,54,0.0,OK,2026-05-27,2026-06-21,False,23400,"TYRE_ROTATION,FULL_SERVICE"
